id_combinado_origen_nomeclatura,id_dug,id_combinado_origen_datos_dataframe
1105,162,RETALHULEU_SAN FELIPE
1104,161,RETALHULEU_SAN MARTÍN ZAPOTITLÁN
1102,159,RETALHULEU_SAN SEBASTIÁN
1103,160,RETALHULEU_SANTA CRUZ MULÚA
314,39,SACATEPEQUEZ_ALOTENANGO
301,26,SACATEPEQUEZ_ANTIGUA GUATEMALA
312,37,SACATEPEQUEZ_CIUDAD VIEJA
302,27,SACATEPEQUEZ_JOCOTENANGO
310,35,SACATEPEQUEZ_MAGDALENA MILPAS ALTAS
303,28,SACATEPEQUEZ_PASTORES
315,40,SACATEPEQUEZ_SAN ANTONIO AGUAS CALIENTES
307,32,SACATEPEQUEZ_SAN BARTOLOMÉ MILPAS ALTAS
308,33,SACATEPEQUEZ_SAN LUCAS SACATEPÉQUEZ
313,38,SACATEPEQUEZ_SAN MIGUEL DUEÑAS
316,41,SACATEPEQUEZ_SANTA CATARINA BARAHONA
309,34,SACATEPEQUEZ_SANTA LUCÍA MILPAS ALTAS
311,36,SACATEPEQUEZ_SANTA MARÍA DE JESÚS
306,31,SACATEPEQUEZ_SANTIAGO SACATEPÉQUEZ
305,30,SACATEPEQUEZ_SANTO DOMINGO XENACOJ
304,29,SACATEPEQUEZ_SUMPANGO
1217,183,SAN MARCOS_AYUTLA
1216,182,SAN MARCOS_CATARINA
1204,170,SAN MARCOS_COMITANCILLO
1206,172,SAN MARCOS_CONCEPCIÓN TUTUAPA
1220,186,SAN MARCOS_EL QUETZAL
1214,180,SAN MARCOS_EL RODEO
1213,179,SAN MARCOS_EL TUMBADOR
1227,193,SAN MARCOS_ESQUIPULAS PALO GORDO
1223,189,SAN MARCOS_IXCHIGUÁN
1230,196,SAN MARCOS_LA BLANCA
1221,187,SAN MARCOS_LA REFORMA
1215,181,SAN MARCOS_MALACATÁN
1212,178,SAN MARCOS_NUEVO PROGRESO
1218,184,SAN MARCOS_OCÓS
1222,188,SAN MARCOS_PAJAPITA
1228,194,SAN MARCOS_RÍO BLANCO
1203,169,SAN MARCOS_SAN ANTONIO SACATEPÉQUEZ
1225,191,SAN MARCOS_SAN CRISTÓBAL CUCHO
1224,190,SAN MARCOS_SAN JOSÉ OJETENAM
1229,195,SAN MARCOS_SAN LORENZO
1201,167,SAN MARCOS_SAN MARCOS
1205,171,SAN MARCOS_SAN MIGUEL IXTAHUACÁN
1219,185,SAN MARCOS_SAN PABLO
1202,168,SAN MARCOS_SAN PEDRO SACATEPÉQUEZ
1211,177,SAN MARCOS_SAN RAFAEL PIÉ DE LA CUESTA
1208,174,SAN MARCOS_SIBINAL
1226,192,SAN MARCOS_SIPACAPA
1207,173,SAN MARCOS_TACANÁ
1209,175,SAN MARCOS_TAJUMULCO
1210,176,SAN MARCOS_TEJUTLA
602,73,SANTA ROSA_BARBERENA
604,75,SANTA ROSA_CASILLAS
608,79,SANTA ROSA_CHIQUIMULILLA
601,72,SANTA ROSA_CUILAPA
611,82,SANTA ROSA_GUAZACAPÁN
614,85,SANTA ROSA_NUEVA SANTA ROSA
606,77,SANTA ROSA_ORATORIO
613,84,SANTA ROSA_PUEBLO NUEVO VIÑAS
607,78,SANTA ROSA_SAN JUAN TECUACO
605,76,SANTA ROSA_SAN RAFAEL LAS FLORES
612,83,SANTA ROSA_SANTA CRUZ NARANJO
610,81,SANTA ROSA_SANTA MARÍA IXHUATÁN
603,74,SANTA ROSA_SANTA ROSA DE LIMA
609,80,SANTA ROSA_TAXISCO
708,93,SOLOLA_CONCEPCIÓN
705,90,SOLOLA_NAHUALÁ
710,95,SOLOLA_PANAJACHEL
709,94,SOLOLA_SAN ANDRÉS SEMETABAJ
712,97,SOLOLA_SAN ANTONIO PALOPÓ
702,87,SOLOLA_SAN JOSÉ CHACAYÁ
717,102,SOLOLA_SAN JUAN LA LAGUNA
713,98,SOLOLA_SAN LUCAS TOLIMÁN
716,101,SOLOLA_SAN MARCOS LA LAGUNA
715,100,SOLOLA_SAN PABLO LA LAGUNA
718,103,SOLOLA_SAN PEDRO LA LAGUNA
706,91,SOLOLA_SANTA CATARINA IXTAHUACÁN
711,96,SOLOLA_SANTA CATARINA PALOPÓ
707,92,SOLOLA_SANTA CLARA LA LAGUNA
714,99,SOLOLA_SANTA CRUZ LA LAGUNA
704,89,SOLOLA_SANTA LUCÍA UTATLÁN
703,88,SOLOLA_SANTA MARÍA VISITACIÓN
719,104,SOLOLA_SANTIAGO ATITLÁN
701,86,SOLOLA_SOLOLÁ
1013,149,SUCHITEPEQUEZ_CHICACAO
