id_dcie,id_dimension,id_fuente_origen
3621,D689,D:68:9
3622,D690,D:69:0
3625,D693,D:69:3
3626,D694,D:69:4
3627,D695,D:69:5
3628,D696,D:69:6
3629,D698,D:69:8
333,D70,D:70
334,D71,D:71
335,D72,D:72
3631,D720,D:72:0
3633,D728,D:72:8
3635,D730,D:73:0
3638,D733,D:73:3
3641,D738,D:73:8
3643,D740,D:74:0
3644,D748,D:74:8
338,D75,D:75
3646,D750,D:75:0
3648,D752,D:75:2
3649,D758,D:75:8
3650,D759,D:75:9
3661,D806,D:80:6
3680,D828,D:82:8
346,D86,D:86
3691,D860,D:86:0
3693,D862,D:86:2
3694,D863,D:86:3
3695,D868,D:86:8
3696,D869,D:86:9
3699,D892,D:89:2
3704,E001,E:00:1
3706,E009,E:00:9
3712,E031,E:03:1
3713,E032,E:03:2
3714,E033,E:03:3
3718,E039,E:03:9
3731,E059,E:05:9
3747,E104,E:10:4
3748,E105,E:10:5
3760,E117,E:11:7
3761,E118,E:11:8
3762,E119,E:11:9
3783,E140,E:14:0
3784,E141,E:14:1
3790,E147,E:14:7
3792,E149,E:14:9
361,E15,E:15
3793,E160,E:16:0
3795,E162,E:16:2
3803,E209,E:20:9
3804,E210,E:21:0
3809,E215,E:21:5
3811,E221,E:22:1
3813,E228,E:22:8
3814,E229,E:22:9
3815,E230,E:23:0
3817,E232,E:23:2
3818,E233,E:23:3
3820,E237,E:23:7
3827,E249,E:24:9
3828,E250,E:25:0
3829,E258,E:25:8
3830,E259,E:25:9
3834,E269,E:26:9
3835,E270,E:27:0
3841,E278,E:27:8
3843,E280,E:28:0
3845,E282,E:28:2
373,E30,E:30
3854,E301,E:30:1
3860,E319,E:31:9
3865,E340,E:34:0
3867,E342,E:34:2
3868,E343,E:34:3
3871,E348,E:34:8
3872,E349,E:34:9
378,E40,E:40
379,E41,E:41
380,E42,E:42
381,E43,E:43
382,E44,E:44
3876,E440,E:44:0
3877,E441,E:44:1
383,E45,E:45
14601,E451,E:45:1
384,E46,E:46
385,E50,E:50
3883,E505,E:50:5
3887,E509,E:50:9
387,E52,E:52
3895,E539,E:53:9
389,E54,E:54
3898,E560,E:56:0
3899,E561,E:56:1
3900,E568,E:56:8
3901,E569,E:56:9
393,E59,E:59
3903,E611,E:61:1
3904,E612,E:61:2
3909,E617,E:61:7
3911,E619,E:61:9
3913,E631,E:63:1
3914,E638,E:63:8
3915,E639,E:63:9
397,E64,E:64
3916,E640,E:64:0
3920,E648,E:64:8
398,E65,E:65
399,E66,E:66
3922,E660,E:66:0
3925,E668,E:66:8
3926,E669,E:66:9
400,E67,E:67
401,E68,E:68
3934,E702,E:70:2
3935,E703,E:70:3
3937,E709,E:70:9
3938,E710,E:71:0
3941,E713,E:71:3
3942,E720,E:72:0
3949,E729,E:72:9
405,E73,E:73
3950,E730,E:73:0
3951,E731,E:73:1
3952,E738,E:73:8
3953,E739,E:73:9
3956,E742,E:74:2
3957,E743,E:74:3
3962,E751,E:75:1
3963,E752,E:75:2
3964,E753,E:75:3
3970,E762,E:76:2
3972,E768,E:76:8
3973,E769,E:76:9
3977,E779,E:77:9
3978,E780,E:78:0
3979,E781,E:78:1
3980,E782,E:78:2
3983,E785,E:78:5
3985,E788,E:78:8
3986,E789,E:78:9
3987,E790,E:79:0
412,E80,E:80
3993,E802,E:80:2
3995,E804,E:80:4
3996,E805,E:80:5
3997,E806,E:80:6
3998,E807,E:80:7
4008,E841,E:84:1
4009,E848,E:84:8
4010,E849,E:84:9
416,E86,E:86
417,E87,E:87
4018,E870,E:87:0
4019,E871,E:87:1
4020,E872,E:87:2
4022,E874,E:87:4
4023,E875,E:87:5
4024,E876,E:87:6
4025,E877,E:87:7
4026,E878,E:87:8
4028,E881,E:88:1
4029,E882,E:88:2
4031,E888,E:88:8
4032,E889,E:88:9
4041,E899,E:89:9
420,E90,E:90
425,F04,F:04
4066,F064,F:06:4
4072,F070,F:07:0
4073,F071,F:07:1
4074,F072,F:07:2
4076,F079,F:07:9
430,F10,F:10
4077,F100,F:10:0
4086,F109,F:10:9
439,F19,F:19
4176,F199,F:19:9
4194,F239,F:23:9
444,F24,F:24
447,F29,F:29
4200,F300,F:30:0
450,F32,F:32
4215,F320,F:32:0
4219,F328,F:32:8
4220,F329,F:32:9
4227,F339,F:33:9
4229,F341,F:34:1
4231,F349,F:34:9
453,F38,F:38
4232,F380,F:38:0
4234,F388,F:38:8
4235,F400,F:40:0
4236,F401,F:40:1
4239,F409,F:40:9
456,F41,F:41
4240,F410,F:41:0
4241,F411,F:41:1
4242,F412,F:41:2
4243,F413,F:41:3
4244,F418,F:41:8
4245,F419,F:41:9
4246,F420,F:42:0
4250,F429,F:42:9
4251,F430,F:43:0
4252,F431,F:43:1
4253,F432,F:43:2
4254,F438,F:43:8
4255,F439,F:43:9
459,F44,F:44
4257,F441,F:44:1
4260,F444,F:44:4
4261,F445,F:44:5
4266,F450,F:45:0
4267,F451,F:45:1
4269,F453,F:45:3
4270,F454,F:45:4
4271,F458,F:45:8
4272,F459,F:45:9
4273,F480,F:48:0
4275,F488,F:48:8
4276,F489,F:48:9
462,F50,F:50
4277,F500,F:50:0
4282,F505,F:50:5
4283,F508,F:50:8
4284,F509,F:50:9
4285,F510,F:51:0
4292,F519,F:51:9
466,F54,F:54
468,F59,F:59
4345,F669,F:66:9
4349,F700,F:70:0
4352,F709,F:70:9
4354,F711,F:71:1
4355,F718,F:71:8
4357,F720,F:72:0
4368,F789,F:78:9
4369,F790,F:79:0
4373,F800,F:80:0
4374,F801,F:80:1
4375,F802,F:80:2
4377,F808,F:80:8
4378,F809,F:80:9
4384,F819,F:81:9
486,F82,F:82
487,F83,F:83
489,F88,F:88
490,F89,F:89
4393,F900,F:90:0
492,F91,F:91
4410,F938,F:93:8
4420,F958,F:95:8
4424,F982,F:98:2
4426,F984,F:98:4
4429,F988,F:98:8
4430,F989,F:98:9
499,G00,G:00
4431,G000,G:00:0
4434,G003,G:00:3
4435,G008,G:00:8
4436,G009,G:00:9
500,G01,G:01
4437,G020,G:02:0
502,G03,G:03
4440,G030,G:03:0
4441,G031,G:03:1
4442,G032,G:03:2
4443,G038,G:03:8
4444,G039,G:03:9
503,G04,G:04
4447,G042,G:04:2
4448,G048,G:04:8
4449,G049,G:04:9
4452,G052,G:05:2
4453,G058,G:05:8
4454,G060,G:06:0
508,G09,G:09
4470,G131,G:13:1
4485,G240,G:24:0
4488,G243,G:24:3
4491,G248,G:24:8
4492,G249,G:24:9
4496,G253,G:25:3
4509,G318,G:31:8
4510,G319,G:31:9
4516,G369,G:36:9
4519,G372,G:37:2
4523,G378,G:37:8
527,G40,G:40
4525,G400,G:40:0
4526,G401,G:40:1
4528,G403,G:40:3
4529,G404,G:40:4
4530,G405,G:40:5
4533,G408,G:40:8
4534,G409,G:40:9
528,G41,G:41
4536,G411,G:41:1
4538,G418,G:41:8
4539,G419,G:41:9
529,G43,G:43
4540,G430,G:43:0
4542,G432,G:43:2
4544,G438,G:43:8
4545,G439,G:43:9
530,G44,G:44
4546,G440,G:44:0
4547,G441,G:44:1
4548,G442,G:44:2
4551,G448,G:44:8
4557,G458,G:45:8
4558,G459,G:45:9
4559,G460,G:46:0
4568,G470,G:47:0
4570,G472,G:47:2
4571,G473,G:47:3
4572,G474,G:47:4
4574,G479,G:47:9
534,G50,G:50
4575,G500,G:50:0
4579,G510,G:51:0
4582,G513,G:51:3
4585,G519,G:51:9
4593,G530,G:53:0
538,G54,G:54
4598,G540,G:54:0
4606,G548,G:54:8
4607,G549,G:54:9
4613,G560,G:56:0
4616,G563,G:56:3
4619,G569,G:56:9
4620,G570,G:57:0
4632,G589,G:58:9
4633,G590,G:59:0
4639,G608,G:60:8
4640,G609,G:60:9
4649,G629,G:62:9
4662,G709,G:70:9
4663,G710,G:71:0
4672,G723,G:72:3
553,G80,G:80
4687,G803,G:80:3
4689,G808,G:80:8
4690,G809,G:80:9
4693,G819,G:81:9
4696,G822,G:82:2
4702,G832,G:83:2
4704,G834,G:83:4
4705,G838,G:83:8
4706,G839,G:83:9
4707,G900,G:90:0
4712,G908,G:90:8
4713,G909,G:90:9
558,G91,G:91
4714,G910,G:91:0
4715,G911,G:91:1
4716,G912,G:91:2
4718,G918,G:91:8
4719,G919,G:91:9
559,G92,G:92
560,G93,G:93
4720,G930,G:93:0
4721,G931,G:93:1
4722,G932,G:93:2
4724,G934,G:93:4
4725,G935,G:93:5
4726,G936,G:93:6
4728,G938,G:93:8
4729,G939,G:93:9
4732,G942,G:94:2
4738,G959,G:95:9
4739,G960,G:96:0
4742,G969,G:96:9
4746,G978,G:97:8
4747,G979,G:97:9
565,G98,G:98
4749,G991,G:99:1
4750,G992,G:99:2
4751,G998,G:99:8
567,H00,H:00
4752,H000,H:00:0
4753,H001,H:00:1
4754,H010,H:01:0
4755,H011,H:01:1
4757,H019,H:01:9
4758,H020,H:02:0
4760,H022,H:02:2
4762,H024,H:02:4
4763,H025,H:02:5
4766,H028,H:02:8
4767,H029,H:02:9
4768,H030,H:03:0
571,H04,H:04
4771,H040,H:04:0
4772,H041,H:04:1
4773,H042,H:04:2
4774,H043,H:04:3
4775,H044,H:04:4
4776,H045,H:04:5
4777,H046,H:04:6
4778,H048,H:04:8
4779,H049,H:04:9
4780,H050,H:05:0
4783,H053,H:05:3
4784,H054,H:05:4
4787,H059,H:05:9
4788,H060,H:06:0
4790,H062,H:06:2
574,H10,H:10
4792,H100,H:10:0
4793,H101,H:10:1
4794,H102,H:10:2
4795,H103,H:10:3
4796,H104,H:10:4
4797,H105,H:10:5
4798,H108,H:10:8
4799,H109,H:10:9
4800,H110,H:11:0
4803,H113,H:11:3
4804,H114,H:11:4
4806,H119,H:11:9
4807,H130,H:13:0
4808,H131,H:13:1
4809,H132,H:13:2
4810,H133,H:13:3
4817,H161,H:16:1
4822,H169,H:16:9
4824,H171,H:17:1
4825,H178,H:17:8
4826,H179,H:17:9
4846,H209,H:20:9
4847,H210,H:21:0
4854,H219,H:21:9
586,H26,H:26
4863,H260,H:26:0
4867,H264,H:26:4
4868,H268,H:26:8
4869,H269,H:26:9
4872,H278,H:27:8
588,H28,H:28
4893,H331,H:33:1
4902,H349,H:34:9
4903,H350,H:35:0
4904,H351,H:35:1
4908,H355,H:35:5
4912,H359,H:35:9
4914,H368,H:36:8
4915,H400,H:40:0
4923,H409,H:40:9
599,H44,H:44
4932,H440,H:44:0
4933,H441,H:44:1
4936,H444,H:44:4
4940,H448,H:44:8
4941,H449,H:44:9
601,H46,H:46
602,H47,H:47
4946,H471,H:47:1
4953,H480,H:48:0
4959,H493,H:49:3
4960,H494,H:49:4
4962,H499,H:49:9
4963,H500,H:50:0
4964,H501,H:50:1
4970,H508,H:50:8
4971,H509,H:50:9
4976,H519,H:51:9
4977,H520,H:52:0
4978,H521,H:52:1
4983,H526,H:52:6
4992,H538,H:53:8
4993,H539,H:53:9
4994,H540,H:54:0
4997,H543,H:54:3
4998,H544,H:54:4
5001,H547,H:54:7
5004,H571,H:57:1
5005,H578,H:57:8
5006,H579,H:57:9
5007,H580,H:58:0
5009,H588,H:58:8
5010,H590,H:59:0
614,H60,H:60
5013,H600,H:60:0
5014,H601,H:60:1
5016,H603,H:60:3
5018,H605,H:60:5
5019,H608,H:60:8
5020,H609,H:60:9
5022,H611,H:61:1
5023,H612,H:61:2
5026,H619,H:61:9
5027,H620,H:62:0
5030,H623,H:62:3
617,H65,H:65
5033,H650,H:65:0
5034,H651,H:65:1
5035,H652,H:65:2
5036,H653,H:65:3
5038,H659,H:65:9
618,H66,H:66
5039,H660,H:66:0
5040,H661,H:66:1
5041,H662,H:66:2
5042,H663,H:66:3
5043,H664,H:66:4
5044,H669,H:66:9
5050,H690,H:69:0
5052,H699,H:69:9
5053,H700,H:70:0
5057,H709,H:70:9
5066,H739,H:73:9
5067,H740,H:74:0
5068,H741,H:74:1
5073,H749,H:74:9
5081,H810,H:81:0
5082,H811,H:81:1
5084,H813,H:81:3
5085,H814,H:81:4
5087,H819,H:81:9
5088,H830,H:83:0
5092,H838,H:83:8
5094,H900,H:90:0
5108,H919,H:91:9
634,H92,H:92
5109,H920,H:92:0
5110,H921,H:92:1
5111,H922,H:92:2
5112,H930,H:93:0
5115,H933,H:93:3
5117,H939,H:93:9
5119,H948,H:94:8
5130,I029,I:02:9
5140,I069,I:06:9
5142,I071,I:07:1
5145,I079,I:07:9
5146,I080,I:08:0
5147,I081,I:08:1
5151,I089,I:08:9
5157,I110,I:11:0
5158,I119,I:11:9
5160,I129,I:12:9
5161,I130,I:13:0
5165,I150,I:15:0
5169,I159,I:15:9
5171,I201,I:20:1
5173,I209,I:20:9
5179,I219,I:21:9
5180,I220,I:22:0
5184,I230,I:23:0
5190,I236,I:23:6
5192,I240,I:24:0
5194,I248,I:24:8
5199,I253,I:25:3
5201,I255,I:25:5
5204,I259,I:25:9
5206,I269,I:26:9
5207,I270,I:27:0
5208,I271,I:27:1
5209,I272,I:27:2
5210,I278,I:27:8
5211,I279,I:27:9
5219,I309,I:30:9
5222,I312,I:31:2
5223,I313,I:31:3
5224,I318,I:31:8
5225,I319,I:31:9
5229,I330,I:33:0
5230,I339,I:33:9
5234,I348,I:34:8
5246,I370,I:37:0
5248,I372,I:37:2
5253,I392,I:39:2
5257,I400,I:40:0
5265,I420,I:42:0
5266,I421,I:42:1
5269,I424,I:42:4
5270,I425,I:42:5
5273,I428,I:42:8
5274,I429,I:42:9
5282,I443,I:44:3
5287,I450,I:45:0
5291,I454,I:45:4
5295,I459,I:45:9
5296,I460,I:46:0
5297,I461,I:46:1
5298,I469,I:46:9
5299,I470,I:47:0
5300,I471,I:47:1
5301,I472,I:47:2
5302,I479,I:47:9
5309,I490,I:49:0
5311,I492,I:49:2
5312,I493,I:49:3
5313,I494,I:49:4
5316,I499,I:49:9
5317,I500,I:50:0
5319,I509,I:50:9
5320,I510,I:51:0
5323,I513,I:51:3
5324,I514,I:51:4
5326,I516,I:51:6
